check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.40235947810852507 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.35765286942980007
exist multipl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
exist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.022353304339362504 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
extraordinari abil exist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
extraordinari abil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
extraordinari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
field cryptographi materi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
field cryptographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
highli sensit environment | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
highli sensit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
highli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
incred challeng qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
incred challeng | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
incred | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
interfer develop practic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
interfer develop | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
interfer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
leap tradit comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
leap tradit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
leap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
maintain stabl quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
maintain stabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
maintain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
materi scienc complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
materi scienc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
materi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.022353304339362504 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
minut classic comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
minut classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
minut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
modern technolog promis | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
modern technolog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
modern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
multipl simultan principl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
multipl simultan | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
multipl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
potenti revolution field | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
potenti revolution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
potenti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
power effici right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
power effici | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
power | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.022353304339362504 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.01562561080033107
practic scalabl quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
practic scalabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
practic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
principl quantum superposit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
principl quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
principl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
process vast calcul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
process vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
process | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
promis unlock capabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
promis unlock | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
promis | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
pursuit modern technolog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
pursuit modern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
pursuit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum bit qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum bit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum comput cut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum comput potenti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum comput quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum comput repres | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum incred challeng | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum incred | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum process vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum process | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum superposit quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
quantum superposit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit extraordinari abil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit extraordinari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit highli sensit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit highli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit qubit extraordinari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.09594104554141858
repres leap tradit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
repres leap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
repres | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
revolution field cryptographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
revolution field | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
revolution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
scalabl quantum comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
scalabl quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
scalabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
scienc complex simul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
scienc complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
scienc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
sensit environment interfer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
sensit environment | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
sensit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
simul build maintain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
simul build | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
simul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
simultan principl quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
simultan principl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
simultan | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
solv minut classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
solv minut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
solv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
stabl quantum incred | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
stabl quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
stabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
superposit quantum process | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
superposit quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
superposit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
technolog promis unlock | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
technolog promis | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
technolog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
thousand quantum comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
thousand quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
thousand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
tradit comput classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
tradit comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
tradit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
unit quantum comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
unit quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
unit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.022353304339362504 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
unlock capabl comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
unlock capabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
unlock | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
vast calcul solv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
vast calcul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.03198034851380619
vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.03424335983902341 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.022353304339362504
aesthet profound impact | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
aesthet profound | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
aesthet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
affect mood emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
affect mood | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
affect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
anxieti artist vincent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
anxieti artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
anxieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
applic color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
applic color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
applic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art aesthet profound | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art aesthet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art psycholog underscor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art therapi color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art therapi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.06706558523283629
artist leverag centuri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
artist leverag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
artist vincent van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
artist vincent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
artwork color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
artwork color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
artwork | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
aspect art therapi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
aspect art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
associ artist leverag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
associ artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
associ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
atmospher paint van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
atmospher paint | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
atmospher | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
blue hand frequent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
blue hand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
blue yellow creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
blue yellow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.03125122160066214 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
calm seren creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
calm seren | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
calm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
caution anxieti artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
caution anxieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
caution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
centuri instanc red | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
centuri instanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
centuri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
claud monet master | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
claud monet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
claud | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
cognit right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
cognit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color art aesthet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color convei complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color evok strong | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color evok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color individu express | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color individu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color psycholog aspect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color psycholog color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color psycholog properti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.06706558523283629
color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.10937927560231749 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
complex emot atmospher | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
complex emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
context caution anxieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
context caution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
context | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
convei complex emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
convei complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
convei piec artwork | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
convei piec | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
creat sens peac | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
creat sens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
creat vibrant turbul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
creat vibrant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.03125122160066214 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.032845671682328575
danger power color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
danger power | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
danger | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
element human emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
element human | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
element | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot atmospher paint | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot atmospher | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot blue hand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot cognit right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot cognit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot convei piec | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot issu fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot issu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot turmoil studi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot turmoil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.13413117046567258
energi danger power | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
energi danger | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
energi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
evok feel happi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
evok feel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
evok strong emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
evok strong | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
evok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
express feel emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
express feel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
express | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
fascin intersect art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
fascin intersect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.018699810854574592 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008896026523050049 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.009747773743342075 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.01290550326583317
feel emot issu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
feel emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
feel happi optim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
feel happi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
feel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
frequent link calm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
